產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
水泥工業,1101,台泥,1169106,1068,"1,095","1,017",946,876,4.32,902,3.82,,,,
水泥工業,1102,亞泥,512626,459,"1,117","1,257","1,006","1,110",4.7,902,3.82,,,,
水泥工業,1103,嘉泥,95466,75,"1,273","1,312","1,061","1,132",2.74,902,3.82,,,V,本公司109年度EPS雖較108年度成長，但109年度整體經濟環境受COVID-19疫情影響，且公司因應轉型，109年度員工人數成長約10%，故薪資平均數與中位數皆略有下修。
水泥工業,1104,環泥,303999,401,758,785,675,722,1.91,902,3.82,,,V,本公司非擔任主管職務之全時員工，大部分老員工已相繼退休，目前員工為年資較淺之新員工及給薪未滿12個月的新員工，因此造成薪資平均數較低。本公司秉持共創價值、利潤分享之理念，持續優化同仁薪酬水準。
水泥工業,1108,幸福,212212,407,521,505,474,469,0.97,902,3.82,,,,
水泥工業,1109,信大,227469,346,657,625,612,573,2.94,902,3.82,,,,
水泥工業,1110,東泥,60949,106,575,556,558,534,0.04,902,3.82,,,,
食品工業,1201,味全,984224,1403,702,690,654,646,1.06,813,3.09,,,,
食品工業,1203,味王,406774,710,573,558,544,525,1.81,813,3.09,,,,
食品工業,1210,大成,1598553,2282,701,690,591,564,3.99,813,3.09,,V,,"本公司營業項目與其它食品業有所差異，以飼料為大宗佔55%，食品相對略低佔19%，人力結構中外籍移工將近三成。 
依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放。"
食品工業,1213,大飲,37323,94,397,384,371,361,-0.48,813,3.09,V,,,非擔任主管職務之全時員工薪資增加主要原因為本公司去年經營績效回穩，調整員工各項應有薪資(含獎金)以及其他福利政策的發放，因此產生變動差異數字。
食品工業,1215,卜蜂,1374108,2143,641,615,504,473,6.18,813,3.09,,V,,"本公司屬勞力密集,生產部員工學歷偏低,如扣除依法申請外勞(約佔總人數36%),本國員工薪資應符合市場行情。
109年非主管職之全時員工人數比108年增加121人,因加班時數降低及新進員工增加,也影響薪資平均數之高低。"
食品工業,1216,統一,6506202,5270,"1,235","1,200","1,051","1,021",3.79,813,3.09,,,,
食品工業,1217,愛之味,357195,532,671,592,559,498,0.47,813,3.09,,,,
食品工業,1218,泰山,371743,497,748,690,641,588,1.75,813,3.09,,,,
食品工業,1219,福壽,374797,591,634,553,591,515,1.91,813,3.09,,,,
食品工業,1220,台榮,118319,211,561,520,538,490,1.02,813,3.09,,,,
食品工業,1225,福懋油,142612,216,660,631,585,554,1.72,813,3.09,,,,
食品工業,1227,佳格,735626,919,800,759,722,697,3.54,813,3.09,,V,,本公司逐年調漲整體薪資結構，相較於前一年，雖2020年EPS減少6%，但非擔任主管職務之全時員工（年度）薪資平均數仍有5.4%成長，整體表現趨近同業平均數。
食品工業,1229,聯華,846191,1152,735,738,677,649,2.43,813,3.09,,,,
食品工業,1231,聯華食,1154336,1961,589,573,499,478,3.74,813,3.09,,V,,"公司七成以上同仁為基層生產作業人員，其中外籍同仁及未全年在職人數佔三成，造成薪資平均數表現低於同業。
本公司秉持共創價值、分享利益、均霑喜悅之理念，將持續優化同仁薪酬水準。"
食品工業,1232,大統益,218573,140,"1,561","1,411","1,356","1,269",8.08,813,3.09,,,,
食品工業,1233,天仁,460462,903,510,538,446,465,0.63,813,3.09,,,,
食品工業,1234,黑松,406697,527,772,754,669,649,2.22,813,3.09,,,,
食品工業,1235,興泰,6869,18,382,312,409,332,0.65,813,3.09,V,,,"1.本公司已成立40多年，老員工已退休，目前員工為年資較淺之新員工。
2.公司獲利原因為業外投資收益，本業實則處於虧損狀態。
3.公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。"
食品工業,1236,宏亞,299554,623,481,492,425,420,0,813,3.09,V,,,2020年因疫情關係，禮坊喜餅業績影響甚鉅，亦造成工廠西餅及漢餅產線開工班次減少及無加班薪資，以致影響整體平均薪資。
塑膠工業,1301,台塑,8302510,6358,"1,306","1,397","1,186","1,272",3.15,1158,2.94,,,,
塑膠工業,1303,南亞,14467606,12087,"1,197","1,231","1,132","1,219",3.24,1158,2.94,,,V,"?疫情影響下本公司積極適應環境變化尋求新經濟商機，使稅後淨利逆勢成長。
?2020年補入新進人員較退休人員多，人力結構改變降低平均薪資。
?2020年發放之年終獎金所得較2019年減少0.89個月。"
塑膠工業,1304,台聚,544236,453,"1,201","1,125","1,090","1,022",2.25,1158,2.94,,,,台聚公司以外部競爭、內部公平及合法性為前提，提供多元及競爭力之薪酬制度，員工獲派的金額依貢獻、績效表現而定；員工酬勞為回饋同仁獎勵其貢獻，並激勵同仁繼續努力，以創造公司、股東與員工的三贏。
塑膠工業,1305,華夏,714336,718,995,957,965,925,2.95,1158,2.94,,V,,"1.因公司非擔任主管職務之資深員工相繼退休，又陸續補入新進員工，使得薪資平均數降低。
2.公司每年均依公司獲利情形、物價指數與同業薪資水平，考量調升員工薪資。"
塑膠工業,1307,三芳,441288,751,588,592,551,546,0.55,1158,2.94,,,,
塑膠工業,1308,亞聚,291953,227,"1,286","1,282","1,197","1,212",1.9,1158,2.94,,,,依據公司營運獲利情形及個人績效，發放年終獎金及調整薪資。
塑膠工業,1309,台達化,482641,394,"1,225","1,043","1,142",995,5.58,1158,2.94,,,,每年依公司營運狀況調整員工薪資，並依營運策略全產全銷制訂合理之績效獎金制度，以達營運目標。
塑膠工業,1310,台苯,200583,184,"1,090","1,302","1,040","1,322",0.55,1158,2.94,,,,109年公司營收下滑導致提撥員工獎金變少所致。
塑膠工業,1312,國喬,469606,370,"1,269","1,191","1,209","1,145",4.52,1158,2.94,,,,
塑膠工業,1313,聯成,265289,221,"1,200","1,005","1,123",952,1.62,1158,2.94,,,,
塑膠工業,1314,中石化,980775,1262,777,904,715,814,0.21,1158,2.94,,,,
塑膠工業,1315,達新,195813,345,568,556,508,491,31.97,1158,2.94,,V,,"1.依學經歷、職等、貢獻度及勞基法規範核薪，並逐年依公司營運及獲利情況調整。
2.處分不動產。
3.營業項目塑膠製品63.10%
4.外籍員工占全體員工13.7%
5.上述說明，成長優於同業、較同業標準低，均屬合理。"
建材營造,1316,上曜,27247,37,736,696,592,503,0.2,842,1.82,,,,
汽車工業,1319,東陽,1850654,3256,568,614,501,528,1.39,737,5.25,,,,
塑膠工業,1321,大洋,335186,456,735,701,689,658,3.24,1158,2.94,,V,,依公司本業經營績效及營運情形，發放獎金及調薪；109年度因處分長期投資認列投資利益，致獲利較同業佳。
塑膠工業,1323,永裕,420658,739,569,564,477,450,3.2,1158,2.94,,V,,"1.永裕為塑膠製品業，就營運規模、產業特性與塑膠原料商大量化生產模式不同。
2.外籍移工佔比為31%。
3.永裕為塑膠製品業，員工產值偏低。
4.109年相較108年EPS成長0.6%，薪資平均值成長0.9%，尚屬合理。"
塑膠工業,1324,地球,133530,247,541,537,457,457,0.22,1158,2.94,,,,
塑膠工業,1325,恆大,190017,192,990,479,734,442,23.16,1158,2.94,,V,,109年度增加聘雇作業人員以增產口罩及不織布，加權平均人數增加50%，公司依學經歷、職位、年資、工作表現、貢獻度及勞基法規範等因素核薪，109年度非經理人之全時員工薪資平均數為990仟元，較108年度增加106.68%。
塑膠工業,1326,台化,6165509,4672,"1,320","1,367","1,189","1,259",3.34,1158,2.94,,,,
汽車工業,1339,昭輝,135716,281,483,487,415,403,1.59,737,5.25,V,,,"1.非擔任主管職之全職員工人數計281人，其中外籍人數約占33.1%，人員結構影響平均薪資水準。

2.每年參考物價指數決定調薪幅度，平均每年調薪幅度約3%。"
其他,1342,八貫,171057,268,638,,548,,3.15,855,3.23,,,,
紡織纖維,1402,遠東新,4065115,4423,919,921,808,817,1.62,635,1,,,,
紡織纖維,1409,新纖,1098217,1718,639,655,549,567,1.79,635,1,,,V,本公司109年因疫情衝擊營運，員工加班時數減少，且公司年終獎金減少，致平均薪資較前一年少；EPS較前一年成長主要來自於停業單位(大陸子公司與當地政府協議搬遷之土地補償款)，109年繼續營業單位之EPS較108年衰退40%
紡織纖維,1410,南染,36170,72,502,500,524,535,0.95,635,1,,,,
紡織纖維,1413,宏洲,107681,192,561,587,519,535,-1.23,635,1,,,,本公司109年度非經理人之全時員工(年度)薪資平均數低於同業水準，主要係公司營運虧損及尚有累計虧損待彌補，故無法發放員工紅利所致。
紡織纖維,1414,東和,91594,193,475,472,447,445,0.27,635,1,V,,,109年受疫情影響，出貨和生產量縮，加班支出少致109年平均薪資未達50萬元。
其他,1416,廣豐,5754,9,639,792,599,799,-1.85,855,3.23,,,,
紡織纖維,1417,嘉裕,150149,300,500,498,454,456,-1.86,635,1,,,,
紡織纖維,1418,東華,75613,158,479,452,429,410,-4.2,635,1,V,,,本公司因連年虧損.董監事亦多年無酬勞.董事會擬於今(110)年呈請股東常會承認亞可力棉生產線停止生產案.力圖求永續經營暨提昇員工薪酬福利等.
紡織纖維,1419,新紡,269009,459,586,588,518,506,1.22,635,1,,V,,"本公司整體薪資及獎懲制度配合公司整體營運目標，並依據同仁所擔任職務及個人績效表現訂定而成。
109年度因遇covid-19之故，約有4個月因受疫情影響致當月員工獎金偏低，以致整體員工平均薪資較去年微幅降低。"
紡織纖維,1423,利華,45291,76,596,435,558,413,2.56,635,1,,V,,本公司資本額不高屬中小型企業，109年度轉投資收益增加致EPS獲利表現較同業平均為佳；惟因紡織相關產業上瘦下肥是普遍存在的現象，公司雖已持續進行基礎人力的薪資結構調整但並不是一蹴可幾。
運動休閒,1432,大魯閣,109684,228,481,729,392,707,0,809,4.45,V,,V,"1.員工核薪依公司薪資級距表核定。
2.定期進行同業薪資調查，使員工薪資具競爭力。
3.公司人力結構以基層門市服務人力為主，固定薪資起薪較低。
4.現場門市服務人員流動率高，新進人員較多，故拉低平均薪資。"
紡織纖維,1434,福懋,1781030,3208,555,570,487,508,1.25,635,1,,V,,受到2020年新冠病毒影響營業額約減少22%，但本公司未因疫情資遣任何一名員工，僅調整加班時數因應，加班費用約減少43%，故拉低2020年員工薪資平均數。
其他,1435,中福,5034,10,503,453,501,453,-0.17,855,3.23,,,,
建材營造,1436,華友聯,25578,35,731,829,729,785,1.88,842,1.82,,,,"1.本公司EPS較去年低，致年終獎金較去年發放較少
2.本公司基於人才培育發展，部份同仁晉升為經理人以致非經理人之全時員工薪資平均數較前一年度微幅下降
3.當年度部份員工異動，新進員工敘薪較原職務員工略低"
其他,1437,勤益控,14290,22,650,726,400,479,1.76,855,3.23,,,,
建材營造,1438,三地開發,1628,3,543,417,471,417,0.45,842,1.82,,,,
建材營造,1439,雋揚,5082,6,847,739,785,735,-2.65,842,1.82,,,,
紡織纖維,1440,南紡,636693,1130,563,528,464,455,0.57,635,1,,,,
紡織纖維,1441,大東,66758,119,561,518,520,492,-2.46,635,1,,,,
建材營造,1442,名軒,22439,30,748,766,726,687,0.25,842,1.82,,,,
其他,1443,立益物流,37806,66,573,564,544,544,-0.29,855,3.23,,,,
紡織纖維,1444,力麗,538922,1114,484,512,420,447,-0.38,635,1,V,,,109年因COVID-19疫情對紡織產業產生重大衝擊，致使公司109年營業收入大幅衰退，因產能降低，使員工109年加班薪資及績效獎金，較去年同期相比減少許多，同時因營運績效衰退，發放員工年終獎金薪酬亦會減少。
紡織纖維,1445,大宇,171201,351,488,502,402,415,-0.44,635,1,V,,,"本公司年終獎金給付依據該年度營業績效發放。依公司章程第25條，公司年度如有獲利，提撥2%為員工酬勞。因108年度稅前淨損55,027仟元，以致108年度年終獎金發放減少以及員工酬勞為0，薪資平均數488仟元未達50萬元。"
紡織纖維,1446,宏和,24234,44,551,555,472,473,-0.05,635,1,,,,
紡織纖維,1447,力鵬,629056,1272,495,514,432,451,-0.48,635,1,V,,,109年因COVID-19疫情對紡織產業產生重大衝擊，致使公司109年營業收入大幅衰退，因產能降低，使員工109年加班薪資及績效獎金，較去年同期相比減少許多，同時因營運績效衰退，發放員工年終獎金薪酬亦會減少。
紡織纖維,1449,佳和,352960,811,435,456,396,419,-1.46,635,1,V,,,"109年度本期淨損111842千元,較108年度虧損83440千元,增加虧損28402千元,公司109年度受疫情影響造成公司虧損擴大,故109年度並未調薪"
紡織纖維,1451,年興,343295,663,518,530,472,471,-2.14,635,1,,,,
紡織纖維,1452,宏益,108495,195,556,562,462,466,0.74,635,1,,,,
建材營造,1453,大將,5927,12,494,480,511,493,0.15,842,1.82,V,,,"109年經營績效較108年提升,稅後淨利14,950仟元,EPS為0.15元,員工薪資平均數494仟元較108年480仟元增加2.92%, 因尚屬微幅獲利,故109年員工酬勞與公司經營績效尚屬合理."
紡織纖維,1454,台富,198748,415,479,517,415,443,-0.31,635,1,V,,,109年因受新冠肺炎疫情影響，全球商業活動停滯，需求大幅減少，導致生產工廠產能利用率大幅下降，因現場人員部分薪資與生產績效連動，故導致員工平均薪資下降。
紡織纖維,1455,集盛,726436,1282,567,572,490,471,-0.07,635,1,,,V,在重視員工政策採取利潤共享原則，訂有完整薪資制度，勞資關係和諧。109年度受疫情影響，為不裁員不減薪，採取降低加班工時，致人年平均加班費減少13千元。若剔除加班費則人年平均薪資費用109年係較108年增加。
建材營造,1456,怡華,12442,24,518,476,487,427,0.73,842,1.82,,,,
紡織纖維,1457,宜進,15756,23,685,538,593,529,2.89,635,1,,,,
紡織纖維,1459,聯發,76301,172,444,450,382,405,-0.58,635,1,V,,,受新型冠狀病毒疫情影響，整體加班費及獎金減少。
紡織纖維,1460,宏遠,796084,1623,491,502,454,452,-1.94,635,1,V,,,本公司經理人及員工薪資報酬係依其學經歷並評估個人績效以及考量公司經營成果議定之。
紡織纖維,1463,強盛新,86507,190,455,511,403,488,0.33,635,1,V,,,"本公司於109年度受疫情影響，全年訂單衰退達27%，生產單位在訂單不足情形下員工無法加班，因而全年加班費大幅降低，
且因獲利衰退，績效獎金也隨之降低，致使全年收入大幅減少。"
紡織纖維,1464,得力,373024,777,480,544,434,496,-0.54,635,1,V,,,本公司109年受新型冠狀病毒因素的影響，接單量及生產量驟減，致員工的加班費及月績效獎金減少所致。
紡織纖維,1465,偉全,72108,170,424,756,374,477,-0.24,635,1,V,,,"1.非擔任主管職之全職員工人數計170人，其中外籍人數約占28%，人員結構影響平均薪資水準。
2.本公司109年度的營運目標未達成，導致相關的變動薪資如加班費、獎金及員工酬勞等相對減少所致。"
紡織纖維,1466,聚隆,177518,334,531,529,493,505,0.38,635,1,,,,
紡織纖維,1467,南緯,126860,199,637,533,548,481,0.72,635,1,,,,"本公司員工薪酬政策依公司當年度經營績效目標之達成、公司財務狀況等評估個人表現及未來風險之關連而給予合理報酬。
每位員工獲派的金額，依職務、貢獻、績效表現而定。"
紡織纖維,1468,昶和,23675,47,504,514,462,461,0.26,635,1,,,,
紡織纖維,1470,大統新創,125408,239,525,578,465,495,0.41,635,1,,,,
電子零組件業,1471,首利,21992,29,758,728,756,666,2.63,851,5.15,,,,
建材營造,1472,三洋實業,40858,93,439,430,409,420,-8.66,842,1.82,V,,,公司尚處於嚴重虧損的狀態，並有累計虧損待彌補，故無法發放員工紅利，且因減產而少發放加班費，109年度也未調薪，故影響員工薪資總額。
紡織纖維,1473,台南,194686,377,516,565,450,482,-2.45,635,1,,,,
紡織纖維,1474,弘裕,258071,469,550,525,501,470,0.83,635,1,,,,
紡織纖維,1475,業旺,2805,5,561,621,538,570,0.24,635,1,,,V,"本公司109年3月新的經營團隊進入,組織及營運方針均有調整。
惟,非擔任主管職務之全時員工（年度）薪資平均數較前一年度減少, 主要係108年因業務縮減故多名員工被資遣, 致108年平均薪資較高,而非109年薪資下降。"
紡織纖維,1476,儒鴻,1366083,1723,793,750,693,634,15.51,635,1,,,,
紡織纖維,1477,聚陽,964025,780,"1,236","1,199","1,151","1,098",9.35,635,1,,,,
電機機械,1503,士電,1819007,1878,969,972,818,802,2.93,713,1.57,,,,
電機機械,1504,東元,1818990,2233,815,834,670,681,1.81,713,1.57,,,V,109年EPS成長而員工平均薪資下降，係因本公司年終獎金與前一年度營業利益正相關，而該年度營業利益下降所致。
電機機械,1506,正道,131305,274,479,468,426,425,-2.19,713,1.57,V,,,"目前正道屬非擔任主管職務之全時
員工(年度)薪資平均數未達50萬元
範疇，未來將依據依獲利情形加薪
調薪。"
汽車工業,1512,瑞利,110556,207,534,542,497,489,-0.55,737,5.25,,,V,109年度營業績效EPS較108年度好，主要係無提列資產減損之情事，另公司致力於合理性改善，人力上適度調整，生產效率的提升，營運績效表現較好，平均薪資水平較108年略低，故公司營業績效與員工薪酬關聯性較低。
電機機械,1513,中興電,1265692,1694,747,699,659,628,3.59,713,1.57,,,,
電機機械,1514,亞力,485578,615,790,766,688,670,1.51,713,1.57,,,,
電機機械,1515,力山,471331,778,606,536,502,460,4.5,713,1.57,,V,,"1.因營運需求擴充產線，109年新進人數較108年多79人，結構配置以生產人員較多，故整體平均薪資略低，但薪資平均數高於108年數據。
2.員工酬勞及薪資依營運績效逐年增加，109年高於108年，109年對基層員工進行調薪。"
其他,1516,川飛,763,1,763,630,763,640,0.83,855,3.23,,,,經查核後，申報109年之人員以年所得計申報，而110年申報人員僅以薪資申報，故產生基礎點申報差異。
電機機械,1517,利奇,279143,588,475,435,440,393,0.76,713,1.57,V,,,本公司考量營運人力需求， 人力結構配置上以生產人員占比居多，員工薪酬狀況因應經營狀況及人力結構等因素調整；109年度營運績效成長，員工薪酬平均數較108年度增加約9.2%，預期110年將亦成長增加。
電機機械,1519,華城,613295,711,863,780,726,711,1.75,713,1.57,,,,
汽車工業,1521,大億,479338,763,628,661,583,598,2.1,737,5.25,,,,
汽車工業,1522,堤維西,808490,1574,514,555,460,498,0.84,737,5.25,,,,
汽車工業,1524,耿鼎,218828,423,517,546,456,406,0.21,737,5.25,,,,
汽車工業,1525,江申,161540,287,563,601,502,540,4.41,737,5.25,,,V,本公司109年EPS較前一年度增加，主要係轉投資公司提高股利分配率，108年補提所得稅，109年所得稅相對減少35%所致。另受疫情影響營業利益衰退78%，致非經常性薪資較108年減少，主要減少項目為獎金及加班費。
電機機械,1526,日馳,93372,149,627,588,482,454,2.97,713,1.57,,V,,"109年綜合損益表之其他收入84,609仟元，其中70,330仟元來自年初合約負債在本年度實現，致今年度EPS上升，EPS影響數約1.17元。"
電機機械,1527,鑽全,449619,708,635,586,540,487,2.94,713,1.57,,V,,公司訂有薪資管理辦法，並於章程內依規定訂定員工酬勞分派比率，配發金額均需經薪資委員會審議。
電機機械,1528,恩德,133913,224,598,579,529,503,-0.61,713,1.57,,,,
電機機械,1529,樂事綠能,20801,40,520,498,446,466,0.65,713,1.57,,,,
電機機械,1530,亞崴,245112,420,584,545,522,486,3.92,713,1.57,,V,,因108年及109年營業額降低，員工薪資未作全面調整，已於110年4月全面大幅調整員工薪資。
電機機械,1531,高林股,106841,166,644,611,591,536,-0.3,713,1.57,,,,
電機機械,1532,勤美,201383,293,687,661,591,522,1.47,713,1.57,,,,
汽車工業,1533,車王電,237159,426,557,559,460,465,0.86,737,5.25,,,,
電機機械,1535,中宇,1096978,1167,940,876,844,786,1.6,713,1.57,,,,
汽車工業,1536,和大,553291,955,579,591,548,537,1.12,737,5.25,,,,
電機機械,1537,廣隆,93314,116,804,808,652,674,10.75,713,1.57,,,,
電機機械,1538,正峰,38414,79,486,489,460,433,-0.57,713,1.57,V,,V,"(一)公司長期虧損，尚處於轉型階段
(二)因產業別，生產線人員佔比達3成"
電機機械,1539,巨庭,61695,138,447,449,401,406,-0.28,713,1.57,V,,,本公司非擔任主管職務之全時員工(年度)薪資平均數未達50萬元，主要係因外勞及馬達廠現場員工佔本公司員工人數達三分之一其薪資較低及本公司109年因虧損無員工酬勞分配，故拉低了公司薪資平均數。
電機機械,1540,喬福,41328,86,481,542,442,479,-0.24,713,1.57,V,,,"造因於去年度COVID-19疫情嚴重,公司出口嚴重停滯,公司於第二季啟動無薪假及鼓勵員工休假為疫情下特殊情況造成"
電機機械,1541,錩泰,228746,442,518,477,479,420,5.79,713,1.57,,V,,"公司在產線中聘雇了較多外籍勞工，以維持產業的競爭力。外籍勞工及建教合作學生合計166人，佔比約35.9%，每月薪資係為最低薪資標準為23,800元，拉低了整體非擔任主管職務之全時員工「薪資平均數」。"
電機機械,1558,伸興,231215,269,860,813,820,751,13.76,713,1.57,,,,
電機機械,1560,中砂,1093101,1607,680,652,626,600,3.63,713,1.57,,V,,電機機械類涵蓋產業廣泛，各公司之資本額、員工所需之學歷、資格、專業技術等均不相同。本公司屬勞力密集產業，現場作業員人數占比達57%，其中外勞占比9%，其薪資結構依基本工資辦理，以上均影響本公司整體平均薪資
汽車工業,1568,倉佑,234935,450,522,467,483,427,0.1,737,5.25,,,,本公司109年度的營運目標未達成，導致相關的變動薪資如:加班費和獎金等減少所致，故本公司無薪資費用與經營績效不相當的情況發生。
電子零組件業,1582,信錦,203339,213,955,984,797,852,7.81,851,5.15,,,V,本公司之薪酬係綜合考量員工專業能力、承擔責任重要性與年度考核結果後，再依年度任職期間比例發放，109年度因業務需求，&#22679;補較多新進人員，致整體平均年薪略為下降。但資深員工年度平均薪資並無減少之情形。
電機機械,1583,程泰,211215,361,585,601,528,535,4.39,713,1.57,,V,V,"1.外籍勞工人數約佔公司人力百分之十，其薪資水準低於本國勞工
2.此薪酬調查僅針對台灣員工，但公司轉投資及海外子公司之獲利等因素皆會影響EPS高低，亦即並非所有獲利皆由台灣總公司所創造"
汽車工業,1587,吉茂,93238,199,469,462,448,447,2.64,737,5.25,V,,,本公司地處偏鄉，人才要求不易致外籍員工人數較高拉低平均薪資，且對個人的學經歷及技能要求無法提高，僅能於就職過程中予以訓練及培養，雖無法達到規定金額仍盡力提高員工所得。
電機機械,1597,直得,239224,365,655,524,583,440,2.51,713,1.57,,V,,同業中有設備裝配、製造加工等產業，應具備之專業技能不同，對產值與獲利貢獻亦有差異。本公司為確保高品質產品及響應政府根留台灣政策，皆於國內生產，薪資報酬是依公司章程與綜合考量績效與貢獻度等因素執行。
運動休閒,1598,岱宇,401623,564,712,541,664,473,11.69,809,4.45,,V,,本公司從事健器材之研發、生產與銷售，工廠位於彰化縣，因受惠北美地區業績大幅成長，生產人員需求增加，109年度營運績效成長，非經理人之員工平均薪資已拉高至712仟元，與同業平均薪資相差甚小。
電器電纜,1603,華電,322270,636,507,506,451,447,2.05,726,1.95,,V,,本公司109年EPS含業外收入為2.05元較同業佳，扣除營業外收入處分投資性不動產利益後為EPS0.97元，獲利低於同業平均EPS1.95元。薪酬架構不與業外連結，應屬合理。
電器電纜,1604,聲寶,515131,652,790,747,703,664,4.86,726,1.95,,,,
電器電纜,1605,華新,2313298,2536,912,891,751,725,2.04,726,1.95,,,,
電器電纜,1608,華榮,265207,424,625,608,610,601,0.76,726,1.95,,,,
電器電纜,1609,大亞,447108,588,760,663,722,627,1.45,726,1.95,,,,員工酬金組合主要包含基本固定薪資、獎金及福利，依據個人能力、對公司貢獻度、績效表現、其所任職位之市場價值及考量公司未來營運風險後決定，與經營績效正相關；至於福利設計，則視員工需求，來規劃多面向的措施。
電器電纜,1611,中電,121624,205,593,654,526,562,0.23,726,1.95,,,,
電器電纜,1612,宏泰,278931,361,773,645,684,587,1.64,726,1.95,,,,
電器電纜,1614,三洋電,499884,938,533,467,504,429,1.36,726,1.95,,,,
電器電纜,1615,大山,140321,227,618,546,553,498,2.67,726,1.95,,V,,"1.公司EPS受自動化程度、產品類別比重及股 
本大小所影響。2.本公司薪資水平在雲林地區屬中上所得，本公司除不斷改善工作環境，及投資自動化設備提高經營績效外，同時辦理年度調薪，並依績效核發年終獎金。"
電器電纜,1616,億泰,119705,202,593,562,522,492,0.01,726,1.95,,,,
電器電纜,1617,榮星,146617,242,606,654,550,634,1.02,726,1.95,,,V,本公司年終獎金為隔年初發放，將年終獎金還原歸屬前一年度後，107~109年分別為2.9千萬元、1.2千萬元、2.4千萬元，與EPS1.5、0.62、1.02高低呈正向相關，還原後109年薪資平均數654千元高於108年585千元，應相關合理。
電器電纜,1618,合機,142715,215,664,605,618,566,1,726,1.95,,,,
食品工業,1702,南僑,201185,291,691,658,593,553,3.84,813,3.09,,V,,本公司109年度每股盈餘較同業為佳係為集團同仁努力之成果，惟本公司於106/8/1以既存分割方式移轉相關營業及員工予二家國內子公司（該子公司非重要子公司，故未列入計算），致影響109年度申報薪酬相關資訊。
生技醫療業,1707,葡萄王,320324,388,826,905,776,832,9.34,717,2.03,,,,
化學工業,1708,東鹼,106886,136,786,799,741,752,0.76,813,1.62,,,,
化學工業,1709,和益,301728,221,"1,365","1,009","1,221",889,1.16,813,1.62,,,,
化學工業,1710,東聯,301554,328,919,958,860,893,-1.22,813,1.62,,,,
化學工業,1711,永光,849458,1257,676,713,647,680,0.39,813,1.62,,,,
化學工業,1712,興農,970403,1356,716,672,645,610,1.7,813,1.62,,V,,"1.本公司屬勞力密集之門市服務及生產製造業，與同業型態不同，銷售人員約佔50%、外籍移工5%，影響薪酬水準。不含銷售服務及移工之薪資應符合市場行情。
2.本公司每年度均辦理全員調薪，並加強提升基層員工薪酬。"
化學工業,1713,國化,54089,80,676,683,595,625,0.61,813,1.62,,,,
化學工業,1714,和桐,55394,78,710,632,618,567,1.68,813,1.62,,V,,本公司109年度EPS1.68元較前一年度0.02元成長，係109年度出售子公司土地；若扣除土地獲利，則109年度之EPS為-0.03元，較前一年度獲利衰退，但員工年薪平均數卻較前年度增加12%。
化學工業,1717,長興,1707778,1850,923,898,797,784,2.05,813,1.62,,,,
化學工業,1718,中纖,425054,663,641,534,585,490,0.73,813,1.62,,,,
生技醫療業,1720,生達,612198,781,784,732,685,636,2.93,717,2.03,,,,
化學工業,1721,三晃,378552,515,735,719,711,686,2.43,813,1.62,,V,,"一、薪酬福利係參考公司經營績效給予合理報酬。    
二、109年盈餘主要來自業外出售土地獲利，但本業經營績效未如預期。     
三、109年員工薪資平均數及員工薪資中位數均已較108年增加。"
化學工業,1722,台肥,859736,691,"1,244","1,273","1,085","1,115",2.5,813,1.62,,,V,本公司獎金發放標準除參考EPS外，主要係與營業利益指標連結，因109年度營業利益較108年略有減少，故薪資平均數較前一年減少。
化學工業,1723,中碳,310391,285,"1,089","1,274","1,027","1,198",3.09,813,1.62,,,,
化學工業,1725,元禎,61210,90,680,651,568,537,1.37,813,1.62,,,,
化學工業,1726,永記,459491,652,705,682,641,616,5.13,813,1.62,,V,,"1.本公司股本較小，且營運多為勞力密集的生產型態而雇有外籍勞工，是以影響每股盈餘及平均薪資的計算。
2.未來依公司政策及營運狀況調整薪資並透過多項員工福利措施回饋予員工，期許員工薪酬與經營績效相對應。"
化學工業,1727,中華化,129165,237,545,547,500,502,-1.26,813,1.62,,,,
化學工業,1730,花仙子,147317,176,837,832,714,711,5.51,813,1.62,,,,
生技醫療業,1731,美吾華,114065,183,623,604,540,527,1.29,717,2.03,,,,
化學工業,1732,毛寶,71342,136,525,499,461,439,0.91,813,1.62,,,,
生技醫療業,1733,五鼎,397771,711,559,541,487,472,0.95,717,2.03,,,,
