產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
其他電子業,6558,興能高,46234,56,826,864,796,796,0.72,1179,6.63,,,,
電腦及週邊設備業,6579,研揚,411136,459,896,915,801,811,3.58,1205,4.57,,,,"本公司員工薪資含月薪資、獎金及員工酬勞。員工酬勞以公司獲利提撥為基礎，
依公司章程-年度獲利應提撥不低於5%為員工酬勞。本公司109年擬提撥8.44%，
提撥率在相關產業係為正常水準。"
綠能環保,6581,鋼聯,58507,75,780,756,786,757,3.66,797,3.81,,,,"本公司獎金發放金額與當年度EPS呈正相關，109年EPS較去年增加2%，員工薪資平均數較去年成長3%，109年員工薪酬與公司經營績效相關性合理。
本公司係較接近「廢棄物處理業」，因此同業公司應縮小至該業別業才屬合理。"
橡膠工業,6582,申豐,209239,174,"1,203",765,"1,046",665,16.85,691,1.85,,,,
其他,6592,和潤企業,906415,886,"1,023",977,798,760,5.01,855,3.23,,,,
汽車工業,6605,帝寶,1502611,2992,502,513,459,459,3.56,737,5.25,,,,
其他,6625,必應,157313,265,594,716,511,597,-3.3,855,3.23,,,,
其他,6655,科定,300628,423,711,600,597,527,4.09,855,3.23,,V,,"其他行業組成多元，行業特性差異大，本公司109年非擔任主管職務之員工平均月薪約59千元，較主計處公布109年全體受僱人員每月平均薪資54,320元高，且較上年度增加18%。"
光電業,6668,中揚光,270338,381,710,671,648,597,1.85,889,1.04,,V,,"本公司除提供薪資、獎金、員工酬勞外，亦發行各項獎酬，惟各項獎酬工具並未列入本項統計。本公司持續增聘人力, 其中製造人力占比較高, 並有定期調漲員工薪資的機制，因此109年平均薪資相較前一年度亦有成長。"
電腦及週邊設備業,6669,緯穎,1577715,1359,"1,161","1,612",881,"1,302",49.25,1205,4.57,,V,V,本公司109年營運規模持續擴增，年度員工人數較108年增加，又因製造單位基層員工人數占全體員工比重增加，以致整體平均薪資下降。
運動休閒,6670,復盛應用,572452,742,771,771,649,628,8.62,809,4.45,,V,,本司為工業局核定等級A+級之3K(辛苦、骯髒、危險)產業，因人口老化、少子化及就業選擇無法滿足用工人數情況下，目前聘用約30%外籍勞工大幅拉低薪資平均。對比同業非屬3K產業，失去此比較之參考意義。
通信網路業,6674,鋐寶科技,113821,121,941,870,851,804,0.7,1125,2.21,,,,
其他電子業,6698,旭暉應材,84177,162,520,697,478,509,0.07,1179,6.63,,,,
光電業,6706,惠特,276721,332,833,838,664,700,5.12,889,1.04,,V,,"1.人力結構分佈直接員工及工讀生佔總人數33%，故拉低總平均薪資。
2.當年度在職月數未達12個月者，佔本次申報大約1成，故影響總平均薪資。
排除上述原因，薪資平均數仍維持在平均水準上。"
電子零組件業,6715,嘉基,56145,56,"1,003","1,009",894,872,4.77,851,5.15,,,V,因本公司109年於台灣設立產線，招募新進員工及產線技術員，加權平均員工人數成長30%，員工結構有所改變，109年薪資平均數較108年微幅下降0.6%，平均薪資微幅差異。
其他電子業,6743,安普新,82286,75,"1,097",,960,,4.4,1179,6.63,,,,
居家生活,6754,匯僑設計,213028,225,947,,823,,3.43,664,5.27,,,,
半導體業,6756,威鋒電子,286359,163,"1,757",,"1,501",,5.29,1412,9.78,,,,依公司章程規定年度如有獲利，應提撥不低於5%為員工酬勞，將公司經營績效與員工獎酬連結，藉以激勵員工與企業共同成長。
電子通路業,6776,展碁國際,248199,253,981,,879,,2.63,981,4.13,,,,
通信網路業,8011,台通,120850,218,554,555,526,501,-0.19,1125,2.21,,,V,主要係因公司內部結構異動致平均員工年資下降，故全時員工薪資平均數較前一年度略有減少，惟薪資中位數較前一年度係持續上升，顯示全體員工薪酬並未有下降之情況。
半導體業,8016,矽創,732607,375,"1,954","1,803","1,831","1,655",11.53,1412,9.78,,,,
其他電子業,8021,尖點,203172,296,686,653,600,579,1.98,1179,6.63,,,,
半導體業,8028,昇陽半導體,571057,771,741,766,714,704,1.02,1412,9.78,,,,
其他,8033,雷虎,9580,17,564,591,576,591,0.03,855,3.23,,,V,"本公司109年度受到新冠疫情影響，實際營運虧損嚴重，惟當年度本集團公司及美國子公司分別接獲台灣及美國政府疫情紓困補助金累計達3,014萬；109年度淨利300萬扣除補助金額3,014萬後，實際EPS仍為虧損。敬請鑒察!"
電子零組件業,8039,台虹,553947,700,791,760,713,677,3.7,851,5.15,,,,
電子零組件業,8046,南電,5868240,5745,"1,021",865,990,830,5.67,851,5.15,,,,
電子通路業,8070,長華*,92655,66,"1,404","1,388",992,999,1.56,981,4.13,,,,
電子通路業,8072,陞泰,7043,12,587,738,513,588,-0.15,981,4.13,,,V,109年度本公司大部份中高薪結構之研發人員分割至100%持股之子公司，陞泰科技人員眾數為總管理處後勤人員，人員薪資結構之年度差異致109年度非經理人之全時員工薪資平均數較前一年度減少。
半導體業,8081,致新,642699,329,"1,953","1,662","1,817","1,568",12.24,1412,9.78,,,,
通信網路業,8101,華冠,319234,461,692,876,517,734,-3.06,1125,2.21,,,,
電子零組件業,8103,瀚荃,134573,162,831,807,720,727,2.7,851,5.15,,,,
光電業,8104,錸寶,140898,196,719,643,626,550,3.06,889,1.04,,V,,因同業股本及營收皆高出本公司數十倍，故同業間每股盈餘有所差異所致，且本公司109年度平均薪資仍較上一年度增加。
光電業,8105,凌巨,1007280,1373,734,731,656,656,-2.47,889,1.04,,,,
半導體業,8110,華東,956680,1840,520,485,455,413,0.51,1412,9.78,,,,
